;ano;titulo;autores;idioma
0;2018;Global, regional, and national incidence, prevalence, and years lived with disability for 354 diseases and injuries for 195 countries and territories, 1990–2017: a systematic analysis for the Global Burden of Disease Study 2017;Spencer L James, Degu Abate, Kalkidan Hassen Abate, Solomón Mequanente Abay, Cristiana Abbafati, Nooshin Abbasi, Hedayat Abbastabar, Foad Abd-Allah, Jemal Abdela, Ahmed Abdelalim, Ibrahim Abdollahpour, Rizwan Suliankatchi Abdulkader, Abebe Zegeye, Semaw Ferede Abera, Olifan Zewdie Abil, Haftom Niguse Abraha, Laith J. Abu‐Raddad, Niveen M. E. Abu-Rmeileh, Manfred Accrombessi, Dilaram Acharya, Pawan Acharya, Ilana N. Ackerman, Abdu A. Adamu, Oladimeji Adebayo, Victor Adekanmbi, Olatunji Adetokunboh, Mina G Adib, José Carmelo Adsuar, Kossivi Agbélénko Afanvi, Mohsen Afarideh, Ashkan Afshin, Gina Agarwal, Kareha M Agesa, Rakesh Aggarwal, Sargis A. Aghayan, Sutapa Agrawal, Alireza Ahmadi, Mehdi Ahmadi, Hamid Ahmadieh, Muktar Beshir Ahmed, Amani Nidhal Aichour, Ibtihel Aichour, Miloud Taki Eddine Aichour, Tomi Akinyemiju, Nadia Akseer, Ziyad Al‐Aly, Ayman Al‐Eyadhy, Hesham M. Al‐Mekhlafi, Rajaa Al‐Raddadi, Fares Alahdab, Khurshid Alam, Shazia Alam, Alaa Alashi, Seyed Moayed Alavian, Kefyalew Addis Alene, Mehran Alijanzadeh, Reza Alizadeh‐Navaei, Syed Mohamed Aljunid, Ala’a Alkerwi, François Alla, Peter Allebeck, Mohamed M L Alouani, Khalid A Altirkawi, Nelson Alvis‐Guzmán, Azmeraw T. Amare, Léopold Ndemnge Aminde, Walid Ammar, Yaw Ampem Amoako, Nahla Anber, Cătălina Liliana Andrei, Sofia Androudi, Megbaru Debalkie Animut, Mina Anjomshoa, Mustafa Geleto Ansha, Carl Abelardo T. Antonio, Palwasha Anwari, Jalal Arabloo, Antonio Araúz, Olatunde Aremu, Filippo Ariani, Bahram Armoon, Johan Ärnlöv, Amit Arora, Al Artaman, Kavumpurathu Raman Thankappan, Hamid Asayesh, Rana Jawad Asghar, Zerihun Ataro, Sachin Atre, Marcel Ausloos, Leticia Ávila‐Burgos, Euripide Avokpaho, Ashish Awasthi, Beatriz Paulina Ayala Quintanilla, Rakesh Ayer, Peter Azzopardi, Arefeh Babazadeh, Hamid Badali, Alaa Badawi, Ayele Geleto;en
1;2017;Global, regional, and national incidence, prevalence, and years lived with disability for 328 diseases and injuries for 195 countries, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016;Theo Vos, Amanuel Alemu Abajobir, Kalkidan Hassen Abate, Cristiana Abbafati, Kaja Abbas, Foad Abd-Allah, Rizwan Suliankatchi Abdulkader, Abdishakur Abdulle, Teshome Abuka Abebo, Semaw Ferede Abera, Victor Aboyans, Laith J. Abu‐Raddad, Ilana N. Ackerman, Abdu A. Adamu, Olatunji Adetokunboh, Mohsen Afarideh, Ashkan Afshin, Sanjay Agarwal, Rakesh Aggarwal, Anurag Agrawal, Sutapa Agrawal, Hamid Ahmadieh, Muktar Beshir Ahmed, Miloud Taki Eddine Aichour, Amani Nidhal Aichour, Ibtihel Aichour, Sneha Aiyar, Rufus Akinyemi, Nadia Akseer, Faris Lami, Fares Alahdab, Ziyad Al‐Aly, Khurshid Alam, Noore Alam, Shazia Alam, Deena Alasfoor, Kefyalew Addis Alene, Raghib Ali, Reza Alizadeh‐Navaei, Ala’a Alkerwi, François Alla, Peter Allebeck, Christine A. Allen, Fatma Al‐Maskari, Rajaa Al‐Raddadi, Ubai Alsharif, Shirina Alsowaidi, Khalid A Altirkawi, Azmeraw T. Amare, Erfan Amini, Walid Ammar, Yaw Ampem Amoako, Hjalte Holm Andersen, Carl Abelardo T. Antonio, Palwasha Anwari, Johan Ärnlöv, Al Artaman, Krishna Kumar Aryal, Hamid Asayesh, Solomon Weldegebreal Asgedom, Reza Assadi, Tesfay Mehari Atey, Niguse Tadele Atnafu, Sachin Atre, Leticia Ávila‐Burgos, Euripide Frinel G Arthur Avokphako, Ashish Awasthi, Umar Bacha, Alaa Badawi, Kalpana Balakrishnan, Amitava Banerjee, Marlena S. Bannick, Aleksandra Barać, Ryan M Barber, Suzanne Barker‐Collo, Till Bärnighausen, Sı́món Barquera, Lars Barregård, Lope H. Barrero, Sanjay Basu, Bob Battista, Katherine E. Battle, Bernhard T. Baune, Shahrzad Bazargan‐Hejazi, Justin Beardsley, Neeraj Bedi, Ettore Beghi, Yannick Béjot, Bayu Begashaw Bekele, Michelle L. Bell, Derrick Bennett, Isabela M. Benseñor, Jennifer Benson, Adugnaw Berhane, Derbew Fikadu Berhe, Eduardo Bernabé, Balem Demtsu Betsu, Mircea Beuran, Addisu Shunu Beyene, Neeraj Bhala;en
2;2018;Global, regional, and national age-sex-specific mortality for 282 causes of death in 195 countries and territories, 1980–2017: a systematic analysis for the Global Burden of Disease Study 2017;Gregory A. Roth, Degu Abate, Kalkidan Hassen Abate, Solomón Mequanente Abay, Cristiana Abbafati, Nooshin Abbasi, Hedayat Abbastabar, Foad Abd-Allah, Jemal Abdela, Ahmed Abdelalim, Ibrahim Abdollahpour, Rizwan Suliankatchi Abdulkader, Haftom Temesgen Abebe, Molla Abebe, Abebe Zegeye, Ayenew Negesse Abejie, Semaw Ferede Abera, Olifan Zewdie Abil, Haftom Niguse Abraha, Aklılu Abrham Roba, Laith J. Abu‐Raddad, Manfred Accrombessi, Dilaram Acharya, Abdu A. Adamu, Oladimeji Adebayo, Rufus Adesoji Adedoyin, Victor Adekanmbi, Olatunji Adetokunboh, Beyene Meressa Adhena, Mina G Adib, Amha Admasie, Ashkan Afshin, Gina Agarwal, Kareha M Agesa, Anurag Agrawal, Sutapa Agrawal, Alireza Ahmadi, Mehdi Ahmadi, Muktar Beshir Ahmed, Sayem Ahmed, Amani Nidhal Aichour, Ibtihel Aichour, Miloud Taki Eddine Aichour, Mohammad Esmaeil Akbari, Rufus Akinyemi, Nadia Akseer, Ziyad Al‐Aly, Ayman Al‐Eyadhy, Rajaa Al‐Raddadi, Fares Alahdab, Khurshid Alam, Shazia Alam, Animut Alebel, Kefyalew Addis Alene, Mehran Alijanzadeh, Reza Alizadeh‐Navaei, Syed Mohamed Aljunid, Ala’a Alkerwi, François Alla, Peter Allebeck, Jordi Alonso, Khalid A Altirkawi, Nelson Alvis‐Guzmán, Azmeraw T. Amare, Léopold Ndemnge Aminde, Erfan Amini, Walid Ammar, Yaw Ampem Amoako, Nahla Anber, Cătălina Liliana Andrei, Sofia Androudi, Megbaru Debalkie Animut, Mina Anjomshoa, Hossein Ansari, Mustafa Geleto Ansha, Carl Abelardo T. Antonio, Palwasha Anwari, Olatunde Aremu, Johan Ärnlöv, Amit Arora, Monika Arora, Al Artaman, Kavumpurathu Raman Thankappan, Hamid Asayesh, Ephrem Tsegay Asfaw, Zerihun Ataro, Suleman Atique, Sachin Atre, Marcel Ausloos, Euripide Avokpaho, Ashish Awasthi, Beatriz Paulina Ayala Quintanilla, Yohanes Ayele, Rakesh Ayer, Peter Azzopardi, Arefeh Babazadeh, Umar Bacha, Hamid Badali, Alaa Badawi, Ayele Geleto;en
3;2016;Global, regional, and national incidence, prevalence, and years lived with disability for 310 diseases and injuries, 1990–2015: a systematic analysis for the Global Burden of Disease Study 2015;Theo Vos, Christine A. Allen, Megha Arora, Ryan M Barber, Zulfiqar A Bhutta, Alexandria Brown, Austin Carter, Daniel Casey, Fiona Charlson, Alan Z Chen, Megan Coggeshall, Leslie Cornaby, Lalit Dandona, Daniel Dicker, Tina Dilegge, Holly E Erskine, Alize J Ferrari, Christina Fitzmaurice, Tom Fleming, Mohammad H. Forouzanfar, Nancy Fullman, Peter W. Gething, Ellen M Goldberg, Nicholas Graetz, Juanita A. Haagsma, Simon I Hay, Catherine O. Johnson, Nicholas J Kassebaum, Toana Kawashima, Laura Kemmer, Fakher Rahim, Yohannes Kinfu, Hmwe Hmwe Kyu, Janni Leung, Xiaofeng Liang, Stephen S Lim, Alan D López, Rafael Lozano, Laurie B. Marczak, George A. Mensah, Ali H. Mokdad, Mohsen Naghavi, Grant Nguyen, Elaine O. Nsoesie, Helen Elizabeth Olsen, David M. Pigott, Christine Pinho, Zane Rankin, Nikolas Reinig, Joshua A. Salomon, Logan Sandar, A. Gordon Smith, Jeffrey D Stanaway, Caitlyn Steiner, Stephanie Teeple, Bernadette A Thomas, Christopher Troeger, Joseph A. Wagner, Haidong Wang, Valentine Wanga, Harvey Whiteford, Leo Zoeckler, Amanuel Alemu Abajobir, Kalkidan Hassen Abate, Cristiana Abbafati, Kaja Abbas, Foad Abd-Allah, Biju Abraham, Ibrahim Abubakar, Laith J. Abu‐Raddad, Niveen M. E. Abu-Rmeileh, Ilana N. Ackerman, Akindele O. Adebiyi, Zanfina Ademi, Arsène Kouablan Adou, Kossivi Agbélénko Afanvi, Emilie Agardh, Arnav Agarwal, Ali Kiadaliri, Hamid Ahmadieh, Oluremi N Ajala, Rufus Akinyemi, Nadia Akseer, Ziyad Al‐Aly, Khurshid Alam, Noore Alam, Saleh Fahed Aldhahri, Miguel Angel Alegretti, Zewdie Aderaw Alemu, Lily Alexander, Samia Alhabib, Raghib Ali, Ala’a Alkerwi, François Alla, Peter Allebeck, Rajaa Al‐Raddadi, Ubai Alsharif, Khalid A Altirkawi, Nelson Alvis‐Guzmán, Azmeraw T. Amare;en
4;2011;Dimensionalizing Cultures: The Hofstede Model in Context;Geert Hofstede;en
5;2020;Global, regional, and national burden of chronic kidney disease, 1990–2017: a systematic analysis for the Global Burden of Disease Study 2017;Boris Bikbov, Caroline Purcell, Andrew S. Levey, Mari Smith, Amir Abdoli, Molla Abebe, Oladimeji Adebayo, Mohsen Afarideh, Sanjay Kumar Agarwal, Marcela Agudelo‐Botero, Elham Ahmadian, Ziyad Al‐Aly, Vahid Alipour, Amir Almasi‐Hashiani, Rajaa Al‐Raddadi, Nelson Alvis‐Guzmán, GK Mini, Tudorel Andrei, Cătălina Liliana Andrei, Zewudu Andualem, Mina Anjomshoa, Jalal Arabloo, Alebachew Fasil Ashagre, Daniel Asmelash, Zerihun Ataro, Maha Atout, Martin Amogre Ayanore, Alaa Badawi, Ahad Bakhtiari, Shoshana H. Ballew, Abbas Balouchi, Maciej Banach, Sı́món Barquera, Sanjay Basu, Mulat Tirfie Bayih, Neeraj Bedi, Aminu K. Bello, Isabela M. Benseñor, Ali Bijani, Archith Boloor, Antonio Maria Borzì, Luis Alberto Cámera, Juan Jesús Carrero, Félix Carvalho, Franz Castro, Ferrán Catalá-López, Alex R. Chang, Ken Lee Chin, Sheng‐Chia Chung, Massimo Círillo, Ewerton Cousin, Lalit Dandona, Rakhi Dandona, Ahmad Daryani, Rajat Das Gupta, Feleke Mekonnen Demeke, Gebre Teklemariam Demoz, Desilu Mahari Desta, Huyen Phuc, Bruce Bartholow Duncan, Aziz Eftekhari, Alireza Esteghamati, Syeda Sadia Fatima, João Carlos Fernandes, Eduarda Fernandes, Florian Fischer, Marisa Freitas, Mohamed M. Gad, Gebreamlak Gebremedhn Gebremeskel, Begashaw Melaku Gebresillassie, Birhanu Geta, Mansour Ghafourifard, Alireza Ghajar, Nermin Ghith, Paramjit Gill, Ibrahim Ginawi, Tarun Gupta, Nima Hafezi‐Nejad, Arvin Haj‐Mirzaian, Arya Haj‐Mirzaian, Ninuk Hariyani, Mehedi Hasan, Milad Hasankhani, Amir Hasanzadeh, Hamid Yimam Hassen, Simon I Hay, Behnam Heidari, Claudiu Herţeliu, Chi Linh Hoang, Mostafa Hosseini, Mihaela Hostiuc, Seyed Sina Naghibi Irvani, Sheikh Mohammed Shariful Islam, Nader Jafari Balalami, Spencer L James, Simerjot K Jassal, Vivekanand Jha, Jost B Jonas, Farahnaz Joukar, Jacek Jerzy Jozwiak;en
6;2018;Global, regional, and national comparative risk assessment of 84 behavioural, environmental and occupational, and metabolic risks or clusters of risks for 195 countries and territories, 1990–2017: a systematic analysis for the Global Burden of Disease Study 2017;Jeffrey D Stanaway, Ashkan Afshin, Emmanuela Gakidou, Stephen S Lim, Degu Abate, Kalkidan Hassen Abate, Cristiana Abbafati, Nooshin Abbasi, Hedayat Abbastabar, Foad Abd-Allah, Jemal Abdela, Ahmed Abdelalim, Ibrahim Abdollahpour, Rizwan Suliankatchi Abdulkader, Molla Abebe, Abebe Zegeye, Semaw Ferede Abera, Olifan Zewdie Abil, Haftom Niguse Abraha, Aklılu Abrham Roba, Laith J. Abu‐Raddad, Niveen ME Abu-Rmeileh, Manfred Accrombessi, Dilaram Acharya, Pawan Acharya, Abdu A. Adamu, Akilew Awoke Adane, Oladimeji Adebayo, Rufus Adesoji Adedoyin, Victor Adekanmbi, Zanfina Ademi, Olatunji Adetokunboh, Mina G Adib, Amha Admasie, José Carmelo Adsuar, Kossivi Agbélénko Afanvi, Mohsen Afarideh, Gina Agarwal, Anju Aggarwal, Sargis A. Aghayan, Anurag Agrawal, Sutapa Agrawal, Alireza Ahmadi, Mehdi Ahmadi, Hamid Ahmadieh, Muktar Beshir Ahmed, Amani Nidhal Aichour, Ibtihel Aichour, Miloud Taki Eddine Aichour, Mohammad Esmaeil Akbari, Tomi Akinyemiju, Nadia Akseer, Ziyad Al‐Aly, Ayman Al‐Eyadhy, Hesham M. Al‐Mekhlafi, Fares Alahdab, Khurshid Alam, Shazia Alam, Shazia Alam, Alaa Alashi, Seyed Moayed Alavian, Kefyalew Addis Alene, Komal Ali, Syed Mustafa Ali, Mehran Alijanzadeh, Reza Alizadeh‐Navaei, Syed Mohamed Aljunid, Ala’a Alkerwi, François Alla, Ubai Alsharif, Khalid A Altirkawi, Nelson Alvis‐Guzmán, Azmeraw T. Amare, Walid Ammar, Nahla Anber, Jason A Anderson, Cătălina Liliana Andrei, Sofia Androudi, Megbaru Debalkie Animut, Mina Anjomshoa, Mustafa Geleto Ansha, Josep M. Antó, Carl Abelardo T. Antonio, Palwasha Anwari, Lambert Appiah, Seth Christopher Yaw Appiah, Jalal Arabloo, Olatunde Aremu, Johan Ärnlöv, Al Artaman, Krishna Kumar Aryal, Hamid Asayesh, Zerihun Ataro, Marcel Ausloos, Euripide Avokpaho, Ashish Awasthi, Beatriz Paulina Ayala Quintanilla, Rakesh Ayer, Ayuk Betrand Tambe, Peter Azzopardi;en
7;2023;Global, regional, and national burden of diabetes from 1990 to 2021, with projections of prevalence to 2050: a systematic analysis for the Global Burden of Disease Study 2021;Kanyin Liane Ong, Lauryn K Stafford, Susan A. McLaughlin, Edward J. Boyko, Dan J. Stein, Amanda Smith, Bronte Dalton, J Duprey, Jessica A Cruz, Hailey Hagins, Paulina A Lindstedt, Amirali Aali, Yohannes Habtegiorgis Abate, Melsew Dagne Abate, Mohammadreza Abbasian, Zeinab Abbasi-Kangevari, Mohsen Abbasi‐Kangevari, Samar Abd ElHafeez, Rami Abd‐Rabu, Deldar Morad Abdulah, Abu Yousuf Md Abdullah, Vida Abedi, Hassan Abidi, Richard Gyan Aboagye, Hassan Abolhassani, Eman Abu‐Gharbieh, Ahmed Abu‐Zaid, Tigist Demssew Adane, Denberu Eshetie, Isaac Yeboah Addo, Oyelola A. Adegboye, Victor Adekanmbi, Victor Abiola Adepoju, Qorinah Estiningtyas Sakilah Adnani, Rotimi Felix Afolabi, Gina Agarwal, Zahra Babaei Aghdam, Marcela Agudelo‐Botero, Constanza Elizabeth Aguilera Arriagada, Williams Agyemang‐Duah, Bright Opoku Ahinkorah, Danish Ahmad, Rizwan Ahmad, Sajjad Ahmad, Aqeel Ahmad, Ali Ahmadi, Keivan Ahmadi, Ayman Ahmed, Ali Ahmed, Luai A. Ahmed, Syed Anees Ahmed, Marjan Ajami, Rufus Akinyemi, Hanadi Al Hamad, Syed Mahfuz Al Hasan, Tareq Mohammed Ali AL-Ahdal, Tariq A. Alalwan, Ziyad Al‐Aly, Mohammad T AlBataineh, Jacqueline Elizabeth Alcalde‐Rabanal, Sharifullah Alemi, Hassam Ali, Tahereh Alinia, Syed Mohamed Aljunid, Sami Almustanyir, Rajaa Al‐Raddadi, Nelson Alvis‐Guzmán, Firehiwot Amare, Edward Kwabena Ameyaw, Sohrab Amiri, Ganiyu Adeniyi Amusa, Cătălina Liliana Andrei, Ranjit Mohan Anjana, Adnan Ansar, Golnoosh Ansari, Alireza Ansari‐Moghaddam, Anayochukwu Edward Anyasodor, Jalal Arabloo, Aleksandr Y. Aravkin, Demelash Areda, Hidayat Arifin, Mesay Arkew, Benedetta Armocida, Johan Ärnlöv, Anton A Artamonov, Judie Arulappan, Raphael Taiwo Aruleba, Ashokan Arumugam, Zahra Aryan, Mulu Tiruneh, Mohammad Asghari Jafarabadi, Elaheh Askari, Daniel Asmelash, Thomas Astell‐Burt, Mohammad Athar, Seyyed Shamsadin Athari, Maha Atout, Leticia Ávila‐Burgos, Ahmed Awaisu, Sina Azadnajafabad;en
8;2018;Alcohol use and burden for 195 countries and territories, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016;Max Griswold, Nancy Fullman, Caitlin Hawley, Nicholas Arian, Stephanie R M Zimsen, Hayley Tymeson, Vidhya Venkateswaran, Austin Douglas Tapp, Mohammad H. Forouzanfar, Joseph S Salama, Kalkidan Hassen Abate, Degu Abate, Solomón Mequanente Abay, Cristiana Abbafati, Rizwan Suliankatchi Abdulkader, Abebe Zegeye, Victor Aboyans, Mohammed Mehdi Abrar, Pawan Acharya, Olatunji Adetokunboh, Tara Ballav Adhikari, José Carmelo Adsuar, Mohsen Afarideh, Emilie Agardh, Gina Agarwal, Sargis A. Aghayan, Sutapa Agrawal, Muktar Beshir Ahmed, Mohammed Akibu, Tomi Akinyemiju, Nadia Akseer, Deena Alasfoor, Ziyad Al‐Aly, Fares Alahdab, Khurshid Alam, Ammar Albujeer, Kefyalew Addis Alene, Raghib Ali, Syed Danish Ali, Mehran Alijanzadeh, Syed Mohamed Aljunid, Ala’a Alkerwi, Peter Allebeck, Nelson Alvis‐Guzmán, Azmeraw T. Amare, Léopold Ndemnge Aminde, Walid Ammar, Yaw Ampem Amoako, Gianna Gayle Herrera Amul, Cătălina Liliana Andrei, Colin Angus, Mustafa Geleto Ansha, Carl Abelardo T. Antonio, Olatunde Aremu, Johan Ärnlöv, Al Artaman, Kavumpurathu Raman Thankappan, Reza Assadi, Marcel Ausloos, Leticia Ávila‐Burgos, Euripide Avokpaho, Ashish Awasthi, Henok Tadesse Ayele, Rakesh Ayer, Ayuk Betrand Tambe, Peter Azzopardi, Hamid Badali, Alaa Badawi, Maciej Banach, Suzanne Barker‐Collo, Lope H. Barrero, Huda Basaleem, Estifanos Baye, Shahrzad Bazargan‐Hejazi, Neeraj Bedi, Yannick Béjot, Abate Bekele Belachew, Saba Abraham Belay, Derrick Bennett, Isabela M. Benseñor, Eduardo Bernabé, Robert S. Bernstein, Addisu Shunu Beyene, Tina Beyranvand, Soumyadeep Bhaumik, Zulfiqar A Bhutta, Belete Biadgo, Ali Bijani, Nigus Bililign, Sait Mentes Birlik, Charles Birungi, Hailemichael Bizuneh, Peter Bjerregaard, Tone Bjørge, Guilherme Borges, Cristina Bosetti, Soufiane Boufous, Nicola Luigi Bragazzi, Hermann Brenner, Zahid A Butt;en
9;2019;Global, regional, and national burden of stroke, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016;Catherine O. Johnson, Minh Nguyen, Gregory A. Roth, Emma Nichols, Shazia Alam, Degu Abate, Foad Abd-Allah, Ahmed Abdelalim, Haftom Niguse Abraha, Niveen ME Abu-Rmeileh, Oladimeji Adebayo, Abiodun M. Adeoye, Gina Agarwal, Sutapa Agrawal, Amani Nidhal Aichour, Ibtihel Aichour, Miloud Taki Eddine Aichour, Fares Alahdab, Raghib Ali, Nelson Alvis‐Guzmán, Nahla Anber, Mina Anjomshoa, Jalal Arabloo, Antonio Araúz, Johan Ärnlöv, Amit Arora, Ashish Awasthi, Maciej Banach, Miguel A. Barboza, Suzanne Barker‐Collo, Till Bärnighausen, Sanjay Basu, Abate Bekele Belachew, Yaschilal Muche Belayneh, Derrick Bennett, Isabela M. Benseñor, Krittika Bhattacharyya, Belete Biadgo, Ali Bijani, Boris Bikbov, Muhammad Shahdaat Bin Sayeed, Zahid A Butt, Lucero Cahuana-Hurtado, Juan Jesús Carrero, Félix Carvalho, Carlos A Castañeda-Orjuela, Franz Castro, Ferrán Catalá-López, Yazan Chaiah, Peggy Pei-Chia Chiang, Jee-Young J Choi, Hanne Christensen, Dinh‐Toi Chu, Monica Cortinovis, Albertino Damasceno, Lalit Dandona, Rakhi Dandona, Ahmad Daryani, Kairat Davletov, Barbora de Courten, Vanessa De la Cruz‐Góngora, Meaza Girma Degefa, Samath Dhamminda Dharmaratne, Daniel Díaz, Manisha Dubey, Eyasu Ejeta Duken, Dumessa Edessa, Matthias Endres, Emerito Jose A Faraon, Farshad Farzadfar, Eduarda Fernandes, Florian Fischer, Luísa Sório Flor, Morsaleh Ganji, Abadi Kahsu Gebre, Teklu Gebrehiwo Gebremichael, Birhanu Geta, Kebede Embaye Gezae, Paramjit Gill, E. V. Gnedovskaya, Hector Gómez‐Dantés, Alessandra C. Goulart, Giuseppe Grosso, Yuming Guo, Tarun Gupta, Arvin Haj‐Mirzaian, Arya Haj‐Mirzaian, Samer Hamidi, Graeme J. Hankey, Hamid Yimam Hassen, Simon I Hay, Mohamed Hegazy, Behnam Heidari, Nabeel Herial, Mohammad Ali Hosseini, Sorin Hostiuc, Seyed Sina Naghibi Irvani, Sheikh Mohammed Shariful Islam, Nader Jahanmehr, Mehdi Javanbakht;en
