fonte,id_fonte,titulo,ano,idioma,autores,veiculo,eixo_tematico,resumo,recorte_geo,n_termos_nucleares,flag_codigo_aberto,flag_social,flag_emancipatorio,n_sentidos_mimetismo,n_sentidos_emancipacao,nucleo_contexto,instituicoes
CEFETMG,oai:repositorio.cefetmg.br:123456789/2847,"Análise das propriedades mecânicas em corpos de prova obtidos por impressão 3D, utilizando material virgem e reciclado",2026,pt,"Araújo, André Luiz Vasconcellos de",CEFETMG,geral,"A consolidação da Indústria 4.0 e a crescente demanda por práticas sustentáveis impulsionam a busca por materiais que unifiquem desempenho técnico à redução de impacto ambiental. A manufatura aditiva, especificamente a tecnologia de modelagem por deposição de material fundido (FDM), se popularizou globalmente como ferramenta ágil de prototipagem e produção final, gerando, contudo, um volume significativo de resíduos poliméricos. Nesse cenário, a reciclagem mecânica surge como alternativa, visando reintroduzir esses materiais na cadeia produtiva. No entanto, para que a substituição de insumos virgens por reciclados seja efetiva na indústria nacional, é fundamental compreender como o ciclo de reprocessamento altera as propriedades físicas e mecânicas dos polímeros. Este trabalho apresenta o comportamento experimental do processo de impressão 3D com materiais reprocessados, discutindo os desafios da degradação térmica e as oportunidades de eficiência estrutural. É exposto um estudo experimental comparativo realizado nos laboratórios do Centro Federal de Educação Tecnológica de Minas Gerais (CEFET-MG), onde foram avaliados corpos de prova de PLA e PETG, virgens e reciclados, submetidos a ensaios de tração destrutivos. O estudo investigou fenômenos críticos como a anisotropia, a adesão entre camadas e a influência da densidade de preenchimento, revelando comportamentos de degradação química e densificação física entre os materiais. O estudo do tema possui importância devido ao objetivo de validar tecnicamente o uso de filamentos reciclados em aplicações de engenharia, estimulando a sustentabilidade na manufatura.",nacional,0,0,0,0,2,0,contexto,CEFET-MG;Centro Federal de Educação Tecnológica de Minas Gerais
CEFETMG,oai:repositorio.cefetmg.br:123456789/2849,Análise do custo total de propriedade e depreciação: um estudo comparativo entre veículos elétricos e a combustão no cenário brasileiro,2026,pt,"Sacramento, Gabriel Ferreira do",CEFETMG,geral,"Este trabalho analisa a viabilidade econômica da eletrificação da frota de veículos leves no mercado brasileiro sob a ótica da metodologia de Custo Total de Propriedade (TCO), preenchendo uma lacuna crítica na literatura sobre transição energética e descarbonização setorial. Impulsionada pela superioridade dos propulsores elétricos, cuja eficiência energética supera 90% frente aos 40% dos motores de combustão interna, a pesquisa desenvolve uma modelagem matemática robusta aplicada à projeção de custos acumulados ao longo de um horizonte operacional de oito anos e 120.000 quilômetros. A metodologia fundamentou-se no exame comparativo rigoroso de pares equivalentes em múltiplos segmentos automotivos, integrando dados públicos do Programa Brasileiro de Etiquetagem Veicular (PBEV/Inmetro), séries temporais de desvalorização da Tabela Fipe e modelagem de custos operacionais com energia, combustíveis, manutenção e seguros. Os resultados empíricos revelam que o principal gargalo à viabilidade econômica dos veículos elétricos reside na severidade de sua depreciação patrimonial, que registrou uma perda média acumulada de 37,20% ao final do ciclo, em contraste com a maior previsibilidade e estabilidade dos modelos térmicos, que apresentaram desvalorização de 19,18%. Embora a vantagem operacional em despesas energéticas e revisões mecânicas seja estatisticamente robusta para todos os cenários, o elevado dispêndio inicial de capital (CAPEX) e custos acessórios, como apólices de seguro elevadas e pneus de alta carga, atenuam o retorno financeiro líquido. Na análise segmentada, os modelos de entrada demonstraram maior propensão à paridade financeira em regimes de alta utilização, enquanto os segmentos premium sofrem forte erosão de valor pelo impacto da depreciação. Adicionalmente, testes de estresse tecnológico comprovam a fragilidade desse equilíbrio: a simulação de degradação severa nas baterias de íons de lítio demandando substituição integral das baterias inviabilizou o TCO em 100% dos casos. Conclui-se que a competitividade da mobilidade elétrica no Brasil não é homogênea, estando intrinsecamente vinculada ao amadurecimento do mercado de usados, à redução dos custos de reposição de baterias e ao aproveitamento estratégico da matriz elétrica renovável do país, coexistindo de forma complementar com a infraestrutura consolidada e os benefícios ambientais dos biocombustíveis nacionais.",nacional,0,0,0,0,5,0,contexto,
CEFETMG,oai:repositorio.cefetmg.br:123456789/1698,"Boletim de Serviço e Pessoal nº 43, de 17 de novembro de 2023",2025,,,CEFETMG,geral,"O Boletim de Serviço e Pessoal nº 43, publicado em 17 de novembro de 2023 pelo CEFET-MG, apresenta atos administrativos e normativos diversos. Destacam-se a criação de novas unidades organizacionais vinculadas à Diretoria de Pesquisa e Pós-graduação, delegação e subdelegação de competências ao Secretário de Gestão de Pessoas, estabelecimento de atribuições para coordenações no âmbito dos campi, criação e estruturação das Comissões de Gestão de Laboratórios, bem como a instituição de auxílio permanência para estudantes quilombolas e indígenas em situação de espera pelo Bolsa Permanência. Também foram divulgadas portarias relacionadas a nomeações, exonerações, vacâncias, designações de cargos e prorrogação da fase de ambientação do Programa de Gestão e Desempenho em diversos campi.",nacional,0,0,0,0,0,0,contexto,CEFET-MG
CEFETMG,oai:repositorio.cefetmg.br:123456789/2003,Os processos decisórios na gestão da inovação: um estudo em organizações de Domótica,2025,pt,"Carneiro, Milene Teixeira",CEFETMG,inovacao_politicas_publicas;governanca_inovacao,"O principal objetivo desta pesquisa consiste em analisar como são os processos decisórios na gestão da inovação em organizações. O percurso metodológico foi desenhado em torno de uma pesquisa qualitativa, de objetivo descritivo, por meio de estudo de quatro organizações da linha de Domótica (automação residencial) situadas no Vale da Eletrônica de Santa Rita do Sapucaí, Minas Gerais, Brasil. A análise de conteúdo se deu pelo software MaxQDA com dados obtidos por meio de entrevistas, observação não participativa e análise documental. Apurou-se que as organizações implementam inovações radicais e incrementais em produtos e processos, mantendo os modelos diversificados de inovação. Estas organizações não praticam a inovação em modelo de negócio, mas são unânimes na prática de inovação aberta. Conclui-se também que os processos decisórios na gestão da inovação nestas organizações acontecem no nível estratégico devido ao custo, risco e incertezas. Os facilitadores da inovação se encontram em variáveis internas e externas, destacando-se as parcerias externas. Outro fator importante no processo decisório em gestão da inovação são as barreiras à inovação, sendo dificuldades relacionadas ao poder público e suas entidades, comum a todas as organizações participantes. As organizações praticam o modelo racional no processo decisório, possuem etapas similares à teoria e elementos diferentes conforme suas realidades, tendo notoriedade o mercado. Esta pesquisa teve como contribuição teórica o desenvolvimento dos temas processos decisórios e inovação alinhados com Domótica, uma vez que se observou uma lacuna ao pesquisar pelos três temas interligados. A dissertação contribui ao identificar os desafios das organizações na tomada de decisão na gestão da inovação; ao verificar que os gestores desconhecem as teorias dos modelos de processo decisório, apesar de praticá-las; ao reconhecer o mercado como um dos elementos chave no processo decisório na gestão da inovação; e ao identificar que políticas públicas e suas instituições como barreiras à tomada de decisão em inovação.",nacional,4,0,0,0,1,0,nucleo,
CEFETMG,oai:repositorio.cefetmg.br:123456789/853,A atuação do observatório social no monitoramento das compras públicas em tempos de pandemia da Covid-19: estudo de caso em um município mineiro,2025,pt,"Araújo, Gilson Luiz de",CEFETMG,geral,"No cenário da pandemia de Covid-19, as compras públicas se mostraram imprescindíveis para salvar vidas. No Brasil, devido à necessidade de simplificar e agilizar os processos para se obter celeridade nas aquisições de combate ao coronavírus, foram implementadas inovações na legislação de licitações e contratações públicas. Na vigência do estado de calamidade pública, os gestores puderam decidir, justificadamente, pela dispensa de licitação, o que, por outro lado, poderia facilitar o desvio de recursos públicos. Diante disso, evidencia-se a importância do monitoramento dos gastos pela sociedade nas aquisições e contratações públicas. Neste sentido, entende-se que a entidade Observatório Social (OS) pode contribuir no processo decisório, promovendo uma governança pública norteada pelos valores de ética, clareza e integridade no cumprimento de obrigações e responsabilidade ao se prestar contas.  Nesta dissertação, questionou-se como se desenvolveu a atuação do OS no monitoramento das compras públicas de um município mineiro em tempos de pandemia da Covid-19. Assim, o objetivo geral deste trabalho foi compreender a atuação do OS no monitoramento das compras públicas de um ente político municipal no enfrentamento do coronavírus. O estudo teve como objetivos específicos: 1) caracterizar as compras públicas no combate da Covid-19; 2) verificar o cumprimento dos requisitos legais nas dispensas de licitação; 3) descrever a atuação do OS no monitoramento das compras públicas; e 4) analisar as implicações da atuação do OS na tomada de decisões dos gestores públicos.  Para realização do estudo, foi adotada uma pesquisa qualitativa e descritiva, tendo por arcabouço as teorias da decisão de Simon e da governança pública. Os dados foram coletados por meio de documentos e relatórios no portal da prefeitura e outros sítios, observação participante e entrevistas. Para a organização dos dados, foi elaborada planilha de mapeamento e checklist, gráficos e tabelas. A interpretação das entrevistas foi tratada por meio de análise de conteúdo.  Os resultados mostraram que a maioria dos fornecedores não é do município investigado, que os dados no Portal da Transparência e no sítio da prefeitura foram apresentados de forma sintética e não apresentavam informações detalhadas de dispensa de licitações. Constatou-se que o OS atuou no monitoramento das compras públicas, questionando sobre o destino dos gastos, investigando os fornecedores envolvidos, recomendando a modalidade de pregão eletrônico e contribuindo para a prevenção de irregularidades. Concluiu-se que sua atuação impactou direta e indiretamente nas decisões dos gestores públicos, uma vez que o OS tem disseminado os valores de accountability, compliance e transparência na gestão municipal.  
",nacional,1,0,0,0,0,0,nucleo,
CEFETMG,oai:repositorio.cefetmg.br:123456789/1223,"Boletim de Serviço e Pessoal nº 42, de 25 de outubro de 2024",2025,,,CEFETMG,geral,"O Boletim de Serviço e Pessoal nº 42, publicado em 25 de outubro de 2024, do CEFET-MG, reúne atos administrativos e normativos, incluindo delegação de competências à Vice-Direção em casos de afastamento da Diretora-Geral, autorização de compartilhamento de infraestrutura laboratorial com startup, criação de Unidade de Gestão para processos disciplinares, adesão de servidores ao Programa de Gestão e Desempenho (teletrabalho), designações e substituições em funções gratificadas e cargos administrativos, concessão de adicionais de insalubridade e periculosidade, retificações e anulações de portarias por erro material, nomeações para comissões e concessão de abono de permanência a servidores docentes.",nacional,0,0,0,0,1,0,contexto,CEFET-MG
CEFETMG,oai:repositorio.cefetmg.br:123456789/814,Dando um Empurrãozinho na Inovação: Nudging e Comportamento Inovador no Setor Público Brasileiro,2025,pt,"Wandermurem, Luciane Vieira",CEFETMG,inovacao_instituto_publico,"No setor público brasileiro, a inovação vem ocupando lugar de destaque e é considerada uma das principais estratégias para o desenvolvimento das organizações e consequentemente proporcionando entregas de qualidade para a sociedade. Com isso, esta pesquisa apresenta os antecedentes da capacidade de inovação e o uso da abordagem de nudge com a finalidade de influenciar o comportamento humano nos processos decisórios que geram a inovação, o que torna este estudo relevante. Esta dissertação teve como objetivo analisar em que medida o uso da abordagem de nudge pode influenciar o comportamento para a inovação e a inovação no setor público brasileiro. A pesquisa quantitativa foi realizada por meio de survey, com coleta dos dados via questionário estruturado, aplicado a uma amostra de trabalhadores no setor público do Brasil. Os dados foram analisados por meio da modelagem de equações estruturais pelo estimador Partial Least Squares (PLS). Uma das contribuições deste trabalho foi aplicar uma escala para mensurar o uso do nudge para influenciar o comportamento inovador entre os trabalhadores do setor público brasileiro. A pesquisa revela que o uso da abordagem de nudge está fortemente correlacionada com o comportamento para inovação, estimulando o comportamento inovador dentro das organizações do setor público. O comportamento para inovação demonstrou ter uma associação positiva com a implementação de inovação. Em suma, os resultados desta pesquisa são valiosos para a compreensão de alguns determinantes da inovação no setor público. Essas descobertas destacam a importância de políticas e estratégias organizacionais que visem fortalecer o comportamento inovador como meio de impulsionar a inovação no setor público brasileiro.",nacional,2,0,0,0,1,0,contexto,
CEFETMG,oai:repositorio.cefetmg.br:123456789/1667,"Boletim de Serviço e Pessoal nº 6, de 09 de fevereiro de 2024",2025,,,CEFETMG,geral,"O Boletim de Serviço e Pessoal nº 6, publicado em 9 de fevereiro de 2024 pelo CEFET-MG, divulga atos administrativos e normativos, incluindo a criação da Comissão de Desenvolvimento da Infraestrutura de Pesquisa, aprovação e execução de tabelas de atividades do Programa de Gestão para a Secretaria de Registro e Controle Acadêmico e Auditoria Interna, prorrogação e continuidade de trabalhos de comissões de processo administrativo disciplinar, autorização da execução orçamentária para 2024, instituição de comissão para interlocução com o SESI para regularização de terreno, nomeação de colegiado do Curso Técnico em Trânsito, além de concessões de progressões funcionais, retribuições por titulação e progressão por mérito a docentes e técnicos administrativos.",nacional,0,0,0,0,0,0,contexto,CEFET-MG
CEFETMG,oai:repositorio.cefetmg.br:123456789/825,Desenvolvimento de um preparador amostral automático para análise cromatográfica,2025,pt,"Lopes, Fabiane Carla",CEFETMG,geral,"O avanço tecnológico tem trazido benefícios para o dia a dia das pessoas e das empresas permitindo a automação de atividades antes manuais. Essa inovação contínua, impacta a rotina dos laboratórios que demandam por análises cada vez mais rápidas, simples e sustentáveis. Isso induziu a mudança da etapa de preparo de amostras com a inclusão de equipamentos automatizados para miniaturização de sistemas, redução de riscos humanos, de erros aleatórios e, de tempo e custos dos tratamentos amostrais. Apesar do diminuto investimento financeiro às Instituições de pesquisas públicas brasileiras, o que tem atrasado o avanço tecnológico no Brasil na última década, as plataformas de robótica de código-aberto e a integração multidisciplinar têm possibilitado a construção de instrumentos laboratoriais automatizados a baixo custo. Foi construído um robô cartesiano com propriedades capazes de preparar soluções e amostras líquidas. Todo o equipamento é controlado por um software escrito em Python 3 que roda em um computador e por dois microcontroladores Atmel 328P programados em linguagem C. O software é responsável pelo deslocamento da microseringa nos eixos cartesianos que são movidos por motores. O objetivo é fazer com que os motores de passos desloquem corretamente a microseringa até a posição desejada dos frascos e reatores, e realize as funções de pipetar ou verter o volume almejado. O software também é responsável pelo funcionamento do bloco reacional: sistemas de aquecimento e agitação. Um motor de eixo desbalanceado é responsável pela agitação do bloco (2965 rpm). O equipamento é composto por: A) um bloco reacional (contém 7 reatores) com controle de temperatura (isolados termicamente por placas de isopor) e agitação; B) por uma microseringa, e; C) por suportes para colocar frascos de reagentes e descarte. Utilizou-se metodologias de validação para a temperatura do bloco (temperatura ambiente até 84,9 ± 0,54 °C) e para o volume da microseringa (até 159,0 ± 0,34 µL), e os resultados dos coeficientes de determinação foram: R²TEMPERATURA = 0,9994 e R²VOLUME = 0,9999. O preparador amostral desenvolvido foi utilizado para o preparo de curvas de calibração de soluções e de reações de derivatização seguida de análise cromatográfica: 1) Soluções com padrão de esteroides (30,0 – 180,0 mg L -1 ): 0,9925 < R² < 0,9944 – GC; 2) Solução padrão de diclofenaco de sódio (25,0 – 125,0 mg L -1 ): R² = 0,9995 – HPLC; 3) Curvas com padrões de aminoácidos derivatizados (10,0 – 35,0 mg L - 1 ) com propil cloroformato: 0,9678 < R² < 0,9995 – GC. Todos os resultados das curvas de linearidade das análises cromatográficas foram avaliados por testes estatísticos de normalidade e homoscedasticidade. A versatilidade desse preparador amostral automático vai além das aplicações desenvolvidas neste trabalho, pois ele executa funções que são responsáveis pelos principais parâmetros de estudos de otimização de processos. Podendo garantir maior repetibilidade/precisão de resultados.",nacional,2,0,0,0,1,0,contexto,
CEFETMG,oai:repositorio.cefetmg.br:123456789/2006,Relacionando inovação gerencial e processos decisórios: um estudo de caso em um hotel de alto luxo brasileiro,2025,pt,"Moreira, Raphael Leandro Fernandes",CEFETMG,geral,"O objetivo desta pesquisa é analisar como se dá a relação entre os processos decisórios e a adoção de inovações gerenciais em um hotel de luxo brasileiro. A investigação teve como base os conceitos e perspectivas teóricas levantados sobre os seguintes temas: inovação, inovação gerencial, inovação na hotelaria, processo decisório e processo decisório em inovações, buscando uma articulação entre esses temas, respeitando-se as especificidades. O percurso metodológico foi desenhado a partir de uma abordagem de natureza qualitativa, de objetivo descritivo, por meio do método de estudo de caso único. Investigou-se um resort localizado no litoral do estado da Bahia, Brasil, tendo em vista a relevância e reconhecimento deste hotel no cenário nacional e internacional, além da acessibilidade do pesquisador à organização. Para a coleta de dados, foram realizadas análise documental e oito entrevistas semiestruturadas com os principais gestores e tomadores de decisão do hotel, na perspectiva de triangulação de dados. O relacionamento entre inovação gerencial e o processo decisório foi base para o modelo de análise proposto. Nesse modelo, o processo de adoção da inovação foi analisado, identificando suas etapas e os fatores influenciadores que impactam nas decisões de adoção ou rejeição. Desse modo, conclui-se que o processo de adoção de inovação é fortemente influenciado por agentes internos e/ou externos que objetivam buscar legitimidade e reputação. Também foi possível observar a influência da crise da pandemia de COVID-19 no processo de inovação gerencial no hotel, sendo um fator impulsionador para acelerar a implementação de tais inovações como possível solução à crise vivenciada pelo empreendimento analisado. Dentre as 28 inovações gerenciais mapeadas nos últimos cinco anos, 17 (61%) se concentraram apenas nos sete meses pesquisados após a pandemia (março a setembro/2020). Complementando o modelo, foram identificadas barreiras ao surgimento da inovação gerencial, como exemplo a baixa capacitação da equipe de gestores e líderes em metodologias de gestão, análise e soluções de problemas, o parcial isolamento geográfico do hotel pesquisado, dificultando a troca de experiências e identificação de boas práticas locais, além do modelo de gestão mais centralizado que não incentiva os líderes das áreas na identificação e proposição de inovações. Com os resultados e discussões desta pesquisa foi possível obter uma maior compreensão do processo de tomada de decisão para a adoção de inovação no contexto da hotelaria de luxo, contribuindo assim para o estado da arte da literatura científica e para gerar impacto positivo nos serviços e processos organizacionais.",nacional,2,0,0,0,0,0,contexto,
