fonte,id_fonte,url,titulo,ano,autores,citacoes,doi,resumo,idioma,conceitos,veiculo,eixo_tematico,coleta_timestamp,query_utilizada
IFBA,oai:repositorio.ifba.edu.br:123456789/142,,Transferência de tecnologia: aspectos teóricos e práticos sobre contratos,2022,"Simões, Fabrício dos Santos",0,"Simões, Fabrício dos Santos; Santos, Wagna Piler Carvalho dos. Transferência de Tecnologia: aspectos teóricos e práticos sobre contratos. Salvador: EDIFBA, 2020. 120p.",.,por,Contratos - Modelos;Inovação;Propriedade intelectual;ADMINISTRACAO PUBLICA,IFBA,geral,2026-09-02T19:45:36,OAI-PMH https://repositorio.ifba.edu.br/oai/request set=
IFBA,oai:repositorio.ifba.edu.br:123456789/228,,Geração de inovação em saúde a partir de pesquisas financiadas  pelo Programa de Pesquisa para o SUS do Estado da Bahia,2022,"Macedo, Daiane Schultz",0,"MACEDO, Daiane Schultz. Geração de inovação em saúde a partir de pesquisas financiadas pelo Programa de Pesquisa para o SUS do Estado da Bahia. Dissertação (Mestrado  em  Propriedade  Intelectual  e  Transferência  de  Tecnologia  para Inovação)  –  Instituto Federal de Educação, Ciência e Tecnologia da Bahia, Salvador, 2022.","The  Research  Program  for  SUS  (PPSUS)  is  a  shared  health  management initiative that aims to support research aimed at solving priority health problems for  the  population. However,  there  are  challenges  in  achieving  the  results established by the Program, such as the incorporation and use of the results of these  researches  in  the  SUS.  In  this  context, the  present  study presents  the 
following guiding question: what innovations were generated by research funded by  PPSUS  in  the  state of  Bahia  and  were  incorporated  into  the  System? Therefore, the objective of this work was to analyze the results of research funded by PPSUS in the state of Bahia, in four editions already completed, regarding the verification of the generation of innovation in health and its application in the SUS. 
For this, the work was carried out from a qualitative research, with an exploratory descriptive character. Data collection consisted of three stages, the first being carried out on the documentary survey of project summaries approved by the PPSUS-BA notices, Nº 020/2010, Nº 020/2013, Nº 030/2013 and Nº 003/2017; 
the  second,  from  the  documentary  survey  of  the  final  reports  of  the  research projects;  and  the  third,  through  a  semi-structured  interview  with  the  research coordinators  and  operational  managers  of  the  PPSUS  in  the  state  of  Bahia, including the actors of the Fundação de Amparo à Pesquisa do Estado da Bahia (FAPESB)  and  the  Health  Department  of  the  State  of  Bahia.  (SESAB).  To 
organize and process the data, Lawrence Bardin's content analysis was used in the first and third stages of the research. The conduction of the analysis was structured  in  three  chronological  phases:  pre-analysis;  the  exploration  of  the material;  and  the  treatment  of  results,  inference  and  interpretation.  It  can  be concluded that the implementation of PPSUS in the state of Bahia contributed to scientific  production,  the  training  of  human  resources  and  made  possible  the articulation between the areas of health and science and technology, with the funding of important research for the state. However, of the 144 projects that were examined,  only  15  resulted  in  potentially  innovative  technical  innovations,  but 
only three projects had results incorporated into the SUS. Another highlight is that the study advances in the field of health innovation methodologies, because there are no mechanisms in the literature that can categorize innovations in this field of knowledge. The study brings some recommendations for FAPESB and SESAB to create strategies to improve the process of incorporation of results to services, through adjustments in future project selection notices, creation of an information system  for  dissemination  of  results  in  the  state  and  improvement  in  the operationalization procedures of the Program.",por,Pesquisa para o SUS;PPSUS;Inovação em saúde;Health research;Innovation in health;CNPQ::CIENCIAS SOCIAIS APLICADAS::ADMINISTRACAO,IFBA,geral,2026-09-02T19:45:36,OAI-PMH https://repositorio.ifba.edu.br/oai/request set=
IFBA,oai:repositorio.ifba.edu.br:123456789/258,,Apropriação  de  inventos  pelas  fundações  de  amparo  à  pesquisa,2022,"Santana, Roquelina",0,"SANTANA,  Roquelina.  Apropriação  de  inventos  pelas Fundações  de  Amparo  à Pesquisa. Trabalho de Conclusão de Curso (Mestrado  em  Propriedade  Intelectual  e  Transferência  de Tecnologia para Inovação) –Pró-Reitoria de Pesquisa, Pós-Graduação e Inovação. Instituto Federal da Bahia, Salvador, 2022.","Considering that the State Research Support Foundations financially support projects 
that may result in inventions that can be appropriated through patents, it was proposed 
in this paper to analyze how the regulations of the state research support foundations 
deal  with  the  appropriation  through  patents  arising  from  the  results  of  projects 
supported by them and how many patents were deposited by each of them. To this 
end, the regulatory documents of the twenty-seven Brazilian state research funding 
foundations, established in the federative units in the period from 1960 to 2022, were 
researched  regarding  the  possibility  of  appropriation  of  intellectual  property  rights, 
more  specifically,  the  rights  related  to  patents.  A  survey  of  the  number  of  patent 
deposits and grants of these foundations was also carried out, allowing a comparison 
between the data. From then on, and based on the theoretical referential, the directives 
that  permeate  the  appropriations  of  inventions  of  these  foundations  were  listed,  in 
addition to their characteristics, highlighting the differences between the foundations 
of support and support for research. Thus, this research is of an applied nature, with a 
quali-quantitative  approach,  of  a  descriptive  character,  based  on  documentary 
research procedures and technological prospection.  The data portrayed that all the 
researched foundations were constituted by means of legal norms, and that, so far, 
only  the  six  foundations  Fundação  de  Amparo  à  Pesquisa  do  Estado  da  Bahia 
(FAPESB), Fundação de Amparo à Pesquisa do Estado de Goiás (FAPEG), Fundação 
de Amparo à Pesquisa do Estado de São Paulo (FAPESP), Fundação Carlos Chagas 
Filho de Amparo à Pesquisa do Rio de Janeiro (FAPERJ), the Fundação de Amparo 
à Pesquisa do Estado de Minas Gerais (FAPEMIG), and the Fundação de Amparo à 
Pesquisa do Estado do Rio Grande do Sul (FAPERGS), have a formal Intellectual 
Property policy  document.  It  was  also  verified  that  the  Fundação  de  Amparo  à 
Pesquisa do Estado de São Paulo and Fundação de Amparo à Pesquisa do Estado 
de  Minas  Gerais  have  a  significant  number  of  patent  deposits  in  contrast  to  the 
research  support  foundations  located  in  the  North  region  of  Brazil  that  only  the 
foundation  established  in  the  State  of  Pará  participated  in  co-ownership,  however, 
presented quantitative equal to 1 as a result.",por,Propriedade Intelectual;Patentes;Inovação;Recursos;Fundações de Apoio à  Pesquisa;Intellectual  Property;Innovation;Patents;Resources;Research  Support  Foundations;CNPQ::CIENCIAS SOCIAIS APLICADAS::ADMINISTRACAO,IFBA,geral,2026-09-02T19:45:36,OAI-PMH https://repositorio.ifba.edu.br/oai/request set=
IFBA,oai:repositorio.ifba.edu.br:123456789/144,,"Tecnologias, Informação, Saúde e Educação",2022,"Reis, Caroline Dias Paim de Souza (Org)",0,"REIS, C. D. P de S.; SANTANA, E.; CARNEIRO, T. K. G. (Org.). Tecnologias, Informação, Saúde e Educação. Salvador: EDIFBA, 2020. 164 p.",.,por,Educação (Tecnologias);Saúde(Tecnologias);Tecnologias (Sociedade);CIENCIAS HUMANAS::EDUCACAO::ENSINO-APRENDIZAGEM::TECNOLOGIA EDUCACIONAL,IFBA,geral,2026-09-02T19:45:36,OAI-PMH https://repositorio.ifba.edu.br/oai/request set=
IFMG,oai:repositorio.ifmg.edu.br:20.500.14387/1805,,Tecnologias sociais para agricultura familiar: uma revisão sistemática da literatura,2024,"Silva, Rafaiana Cristina Sousa",0,https://hdl.handle.net/20.500.14387/1805,"Este estudo focou na análise da tecnologia social aplicada à agricultura familiar. Apresentou como problemática e questões norteadoras: o que a literatura científica indica sobre o uso de tecnologia social para a agricultura familiar? Quais são as tendências do estudo desta temática? Desse modo, o presente estudo teve como objetivo geral analisar as publicações sobre as tecnologias sociais para a agricultura familiar, por meio da revisão sistemática da literatura na Plataforma Periódicos CAPES. Para tal, foi realizada uma análise bibliográfica por meio de uma abordagem sistemática da literatura, este estudo também se configurou como um estudo descritivo. Para a coleta de dados, foi criado um protocolo de pesquisa e a plataforma utilizada foi Periódicos Capes, com o termo de busca “tecnologias sociais para agricultura familiar”, sem limite de tempo estipulado e em idioma português. A coleta ocorreu de 12 a 22 de abril de 2024. A partir do refinamento da pesquisa e aplicação dos parâmetros de exclusão, foram selecionados 11 artigos para este estudo. Efetuou-se a leitura completa dos 11 artigos e análise de conteúdo e categorização destes. Os resultados, primeiramente, foram analisados de acordo com a categorização geral, que indicaram os anos de 2020 e 2022 como os anos que mais teve números de publicação ao mostrar o número de artigos publicados anualmente. As principais classificações Qualis CAPES dos periódicos dos artigos selecionados foi a B3 com maior predominância, o que demonstrou boa qualidade científica e acadêmica. Já em relação à metodologia adotada nestes estudos, verificou-se que a abordagem qualitativa foi predominante, e quanto aos objetos de estudos dos artigos foram em sua maioria das regiões Sul e Nordeste. Na análise da fundamentação teórica, a obra mais referenciada entre os estudos foi o estudo de Mattos e Farias Júnior (2011) sobre o Biodigestor. As categorias criadas foram: tecnologia biodigestor, tecnologia social hídrica, agroecologia, mecanização agrícola, apicultura e papel do agente público na tecnologia social. Conclui-se que, apesar de muitas tecnologias sociais disponíveis, elas são encontradas de maneira dispersa na literatura devido à especificidade de aplicação de cada uma. A revisão sistemática realizada para este estudo concluiu que as publicações são recentes e apresentaram baixo volume de artigos científicos abordando especificamente tecnologias sociais para a agricultura familiar. A tendência dos estudos focou em tecnologias relacionados ao uso do biodigestor, tecnologias hídricas, agroecologia, mecanização agrícola, apicultura e na importância do papel do agente público na implementação dessas tecnologias.",Português,Tecnologias sociais;Agricultura familiar;Revisão sistemática,IFMG,tecnologia_social,2026-09-02T19:45:37,OAI-PMH https://repositorio.ifmg.edu.br/server/oai/request set=
IFMG,oai:repositorio.ifmg.edu.br:20.500.14387/2378,,Modelagem de Aplicativo de Delivery para Economia Solidária,2025,"Corrêa, Luís Fernando da Silva",0,https://hdl.handle.net/20.500.14387/2378,"Este trabalho apresenta a proposta de um modelo de sistema de delivery colaborativo, desenvolvido como alternativa às plataformas privadas tradicionais. O objetivo é oferecer uma solução de fácil replicação por cooperativas, associações comunitárias ou outras formas de organização baseadas na economia solidária, com menor custo operacional e foco na valorização da economia local. A metodologia adotada incluiu análise comparativa de aplicativos existentes, levantamento de requisitos e elaboração de protótipos com base em dados coletados por meio de formulários aplicados a consumidores, empreendedores e entregadores. Como resultado, foi obtida uma documentação visual e conceitual, que pode servir como base para o desenvolvimento de soluções comunitárias mais justas, transparentes e sustentáveis.",Português,Autogestão tecnológica;Delivery solidário;Cooperativas digitais;Economia Local;Plataformas alternativas,IFMG,economia_solidaria,2026-09-02T19:45:37,OAI-PMH https://repositorio.ifmg.edu.br/server/oai/request set=
IFMG,oai:repositorio.ifmg.edu.br:20.500.14387/1919,,"A abertura do mercado livre de energia via comercializador varejista sob a ótica da sustentabilidade: certificado de energia renovável, economia e calculadora de viabilidade",2024,"Matos, Thiago Filipe de",0,https://hdl.handle.net/20.500.14387/1919,"O mercado livre de energia brasileiro permite, desde 1999, a negociação de preços de energia entre agentes geradores, comercializadores e consumidores, desde que alguns requisitos regulatórios sejam atendidos, o que criou um nicho de mercado restrito às empresas de médio e grande porte. Em 2022, o Ministério de Minas e Energia publicou a Portaria nº 50 de 2022, garantindo o direito a todos os consumidores de alta tensão (grupo A) de poderem migrar para o ambiente de livre contratação desde janeiro de 2024. Devido a essa autonomia, novas empresas podem ter acesso à energia limpa, renovável, sustentável, certificada e com zero emissão de carbono, além de reduzirem significativamente seus custos financeiros com energia elétrica. Porém, a legislação do setor e os métodos para se calcular os ganhos financeiros são pouco disseminados e de difícil compreensão para quem não é da área de comercialização de energia. Dessa forma, essa dissertação tem por objetivo explicar como uma empresa pode reduzir seus custos no consumo de energia e zerar suas emissões de CO2 nesse segmento, através do Certificado de Energia Renovável. Essa oportunidade está aderente ao Objetivo de Desenvolvimento Sustentável nº 07 da Organização das Nações Unidades e às melhores práticas ambientais, sociais e de governança. Dois artigos são apresentados neste trabalho como capítulos. O primeiro artigo, no capítulo 2, aborda o que é o certificado de energia renovável (REC) por meio de uma revisão sistemática da literatura. A certificação do consumo de energia elétrica proveniente de fontes renováveis permite às empresas zerarem suas emissões de gases do efeito estufa. O segundo artigo, no capítulo 3, explica a nova legislação, os critérios e cálculos para aquisição de energia renovável no mercado livre de energia, através do comercializador varejista. Uma metodologia de cálculo com fórmulas matemáticas é apresentada com o intuito de simplificar e popularizar o conhecimento. Por fim, complementado o estudo apresentado, é apresentado um Produto Técnico-Tecnológico (PTT): um programa de software desenvolvido em Python, denominado Calculadora Mercado Livre, para aplicar o conhecimento apresentado através de um sistema acessível e que gera um estudo a partir de dados inseridos pelo usuário e tarifas homologadas pela Agência Nacional de Energia Elétrica (ANEEL) automaticamente atualizadas.",Português,Mercado livre de energia;Certificado de energia renovável;Comercializador varejista;Renovável.,IFMG,geral,2026-09-02T19:45:37,OAI-PMH https://repositorio.ifmg.edu.br/server/oai/request set=
IFMG,oai:repositorio.ifmg.edu.br:20.500.14387/3048,,Análise da percepção da comunidade acadêmica sobre a cultura empreendedora no IFMG Campus Ribeirão das Neves,2026,"Silva, Thuanne Leal da",0,https://hdl.handle.net/20.500.14387/3048,"Uma cultura empreendedora em uma instituição é um importante impulsionador de atividade de empreendedorismo e inovação. Entretanto, a percepção sobre a cultura pode variar de acordo com as ações que são desenvolvidas e até mesmo com o envolvimento das pessoas nessas ações. Nas Instituições de Ensino não é diferente, a percepção do alunado sobre a cultura de inovação e empreendedorismo pode variar de contexto para contexto. Neste sentido, esta pesquisa busca analisar a percepção da comunidade acadêmica sobre a cultura empreendedora no IFMG campus Ribeirão das Neves. Para se alcançar os objetivos propostos foi feita uma pesquisa de abordagem mista que envolveu a aplicação de questionários a 105 pessoas. Os resultados mostram que a maioria dos respondentes percebem importantes atividades relacionadas ao empreendedorismo e inovação. Entretanto, é necessário maior envolvimento dos discentes em atividades relacionadas.",por,"Empreendedorismo;Institutos federais de educação, ciência e tecnologia;Cultura organizacional;Ciências Sociais Aplicadas",IFMG,inovacao_instituto_publico,2026-09-02T19:45:37,OAI-PMH https://repositorio.ifmg.edu.br/server/oai/request set=
IFMG,oai:null:20.500.14387/2979,,O uso da inteligência artifical no processo de recrutamento e seleção,2026,"Nascimento, Isabela Siqueira",0,https://hdl.handle.net/20.500.14387/2979,"Este estudo analisa a transição do modelo tradicional de Recrutamento e Seleção (R&S) para o digital, com foco central no papel da Inteligência Artificial (IA) como ferramenta estratégica no setor de Recursos Humanos. O objetivo geral da pesquisa consistiu em analisar o uso da IA nos processos de recrutamento e seleção, identificando seus benefícios e limitações frente às exigências de um mercado globalizado e tecnologicamente avançado. Metodologicamente, a pesquisa classifica-se como de natureza básica e abordagem qualitativa, utilizando o procedimento de revisão bibliográfica narrativa com caráter exploratório e descritivo. O levantamento fundamentou-se em obras de autores clássicos, como Chiavenato, e em publicações científicas recentes em bases de dados como SciELO e Google Acadêmico. Os resultados indicam que a implementação de ferramentas de IA, como algoritmos de Machine Learning e Processamento de Linguagem Natural (NLP), proporciona ganhos significativos em agilidade, redução de custos operacionais e assertividade na triagem de currículos, superando a morosidade dos processos manuais. Plataformas como Gupy e LinkedIn são destacadas como pilares desse ecossistema digital. Contudo, a pesquisa revela limitações críticas, notadamente o viés algorítmico — que pode reproduzir preconceitos históricos —, a opacidade nas decisões (efeito caixa-preta) e desafios relativos à privacidade de dados em conformidade com a Lei Geral de Proteção de Dados (LGPD). Conclui-se que, embora a IA atue como um potente catalisador de eficiência e inovação, sua aplicação exige uma supervisão humana ética e criteriosa. O equilíbrio entre a automação tecnológica e a sensibilidade humana é indispensável para garantir processos seletivos justos, inclusivos e alinhados aos valores organizacionais, mitigando o risco de desumanização nas contratações.",por,Recrutamento e seleção;Recursos humanos;Inteligência artificial;Transformação digital;Ciências Sociais Aplicadas,IFMG,geral,2026-09-02T19:45:38,OAI-PMH https://repositorio.ifmg.edu.br/server/oai/request set=
IFMG,oai:null:20.500.14387/2955,,Modelos de gestão empresarial no Futebol Mineiro: um estudo comparativo entre o Cruzeiro Esporte Clube (SAF) e o Clube Atlético Mineiro (Holding/SAF) no período de 2022 a 2025,2026,"Silva, João Vitor Da Rocha",0,https://hdl.handle.net/20.500.14387/2955,"O futebol brasileiro consolidou-se, nas últimas décadas, como um fenômeno esportivo, social e econômico de grande relevância, exigindo estruturas administrativas compatíveis com sua crescente complexidade organizacional e institucional. Este estudo teve como objetivo analisar de que maneira diferentes modelos de estruturação administrativa, a SAF no Cruzeiro Esporte Clube e o modelo de holding seguido de transição para SAF no Clube Atlético Mineiro influenciaram a sustentabilidade institucional e organizacional, a governança corporativa e o desempenho esportivo no período de 2022 a 2025. A pesquisa adotou abordagem qualitativa, de caráter descritivo e comparativo, fundamentada em pesquisa bibliográfica e documental, sendo classificada como Estudo de Caso Documental Comparativo.A análise foi orientada por um Modelo Analítico de Gestão Profissional no Futebol, estruturado a partir de cinco dimensões centrais: estrutura organizacional, governança corporativa, profissionalização da gestão, relação com stakeholders e sustentabilidade institucional. Os resultados evidenciaram que a simples adoção de uma nova forma jurídica não garante, por si só, estabilidade organizacional ou competitividade esportiva. No caso do Cruzeiro, a conversão à SAF em um contexto de colapso administrativo possibilitou maior reorganização institucional, fortalecimento da governança e maior previsibilidade organizacional ao longo do período analisado. Em contraste, o Atlético Mineiro apresentou um processo de empresarização marcado por estrutura híbrida, elevada dependência de investidores e instabilidade institucional, mesmo diante de receitas elevadas.Concluiu-se que a sustentabilidade institucional no futebol brasileiro depende menos do modelo jurídico adotado e mais da qualidade da gestão profissional, da continuidade administrativa e da consolidação de práticas de governança, transparência e planejamento estratégico, elementos fundamentais para o reposicionamento competitivo e organizacional dos clubes no cenário esportivo contemporâneo",por,Futebol brasileiro;Sociedade Anônima do Futebol;Gestão esportiva;Governança corporativa;Sustentabilidade institucional;Ciências Sociais Aplicadas,IFMG,geral,2026-09-02T19:45:38,OAI-PMH https://repositorio.ifmg.edu.br/server/oai/request set=
