fonte,id_fonte,url,titulo,ano,autores,citacoes,doi,resumo,idioma,conceitos,veiculo,eixo_tematico,coleta_timestamp,query_utilizada
OpenAlex,https://openalex.org/W2889003232,https://openalex.org/W2889003232,"Three frames for innovation policy: R&D, systems of innovation and transformative change",2018,"Johan Schot, W. Edward Steinmueller",1765,https://doi.org/10.1016/j.respol.2018.08.011,"Science, technology and innovation (STI) policy is shaped by persistent framings that arise from historical context. Two established frames are identified as co-existing and dominant in contemporary innovation policy discussions. The first frame is identified as beginning with a Post-World War II institutionalisation of government support for science and R&D with the presumption that this would contribute to growth and address market failure in private provision of new knowledge. The second frame emerged in the 1980s globalising world and its emphasis on competitiveness which is shaped by the national systems of innovation for knowledge creation and commercialisation. STI policy focuses on building links, clusters and networks, and on stimulating learning between elements in the systems, and enabling entrepreneurship. A third frame linked to contemporary social and environmental challenges such as the Sustainable Development Goals and calling for transformative change is identified and distinguished from the two earlier frames. Transformation refers to socio-technical system change as conceptualised in the sustainability transitions literature. The nature of this third framing is examined with the aim of identifying its key features and its potential for provoking a re-examination of the earlier two frames. One key feature is its focus on experimentation, and the argument that the Global South does not need to play catch-up to follow the transformation model of the Global North. It is argued that all three frames are relevant for policymaking, but exploring options for transformative innovation policy should be a priority.",en,Transformative learning;Framing (construction);Sustainability;Context (archaeology);Sociology;Institutionalisation;Political science;Law;Paleontology;Biology;Pedagogy;Ecology;Structural engineering;Engineering,Research Policy,inovacao_politicas_publicas,2026-09-09T16:47:15,"""sociology of innovation"" OR ""innovation policy"" OR ""public governance"" OR ""public innovation"" OR ""social technology"" OR"
OpenAlex,https://openalex.org/W1946093131,https://openalex.org/W1946093131,Developmental Evaluation: Applying Complexity Concepts to Enhance Innovation and Use,2010,Michael Quinn Patton,1761,,"Developmental evaluation (DE) offers a powerful approach to monitoring and supporting social innovations by working in partnership with program decision makers. In this book, eminent authority Michael Quinn Patton shows how to conduct evaluations within a DE framework. Patton draws on insights about complex dynamic systems, uncertainty, nonlinearity, and emergence. He illustrates how DE can be used for a range of purposes: ongoing program development, adapting effective principles of practice to local contexts, generating innovations and taking them to scale, and facilitating rapid response in crisis situations. Students and practicing evaluators will appreciate the book's extensive case examples and stories, cartoons, clear writing style, ""closer look"" sidebars, and summary tables. Provided is essential guidance for making evaluations useful, practical, and credible in support of social change.",en,Formative assessment;Context (archaeology);Developmental stage theories;Management science;Computer science;Psychology;Engineering;Mathematics education;Developmental psychology;Biology;Paleontology,,geral,2026-09-09T16:47:15,"""sociology of innovation"" OR ""innovation policy"" OR ""public governance"" OR ""public innovation"" OR ""social technology"" OR"
OpenAlex,https://openalex.org/W2160004216,https://openalex.org/W2160004216,Social Entrepreneurship: A Critique and Future Directions,2011,"M. Tina Dacin, Peter A. Dacin, Paul Tracey",1455,https://doi.org/10.1287/orsc.1100.0620,"Work on social entrepreneurship constitutes a field of study that intersects a number of domains, including entrepreneurial studies, social innovation, and nonprofit management. Scholars are beginning to contribute to the development of this new discipline through efforts that attempt to trace the emergence of social entrepreneurship as well as by comparing it to other organizational activities such as conventional entrepreneurship. However, as a nascent field, social entrepreneurship scholars are in the midst of a number of debates involving definitional and conceptual clarity, boundaries of the field, and a struggle to arrive at a set of relevant and meaningful research questions. This paper examines the promise of social entrepreneurship as a domain of inquiry and suggests a number of research areas and research questions for future study.",en,Entrepreneurship;Social entrepreneurship;Field (mathematics);CLARITY;Sociology;TRACE (psycholinguistics);Set (abstract data type);Public relations;Social science;Epistemology;Political science;Biochemistry;Mathematics;Law;Chemistry;Philosophy;Pure mathematics;Computer science;Linguistics;Programming language,Organization Science,geral,2026-09-09T16:47:15,"""sociology of innovation"" OR ""innovation policy"" OR ""public governance"" OR ""public innovation"" OR ""social technology"" OR"
OpenAlex,https://openalex.org/W2010961314,https://openalex.org/W2010961314,Design Thinking for Social Innovation,2010,"Tim Brown, Jocelyn Wyatt",1432,https://doi.org/10.1596/1020-797x_12_1_29,Designers have traditionally focused on enchancing the look and functionality of products.,en,Social innovation;Business;Economics;Environmental economics;Marketing;Industrial organization;Public economics;Economic growth;Political science;Public relations,Development Outreach,geral,2026-09-09T16:47:15,"""sociology of innovation"" OR ""innovation policy"" OR ""public governance"" OR ""public innovation"" OR ""social technology"" OR"
OpenAlex,https://openalex.org/W2897383306,https://openalex.org/W2897383306,Mission-oriented innovation policies: challenges and opportunities,2018,Mariana Mazzucato,1430,https://doi.org/10.1093/icc/dty034,"This article focuses on the broader lessons from mission-oriented programs for innovation policy—and indeed policies aimed at investment-led growth. While much has been written about case studies on missions, this has not resulted in an alternative policy making toolkit. Missions—in the least—require those tools to be just as much about market cocreating and market shaping, as they are about market fixing. The article reviews the characteristics of mission-oriented programs, ooks at key features of those programs that can provide lessons, and discusses how to choose and implement mission-oriented policies, with an example.",en,Key (lock);Investment (military);Business;Market oriented;Industrial organization;Process management;Marketing;Economics;Political science;Computer science;Market economy;Politics;Computer security;Law,Industrial and Corporate Change,inovacao_politicas_publicas,2026-09-09T16:47:15,"""sociology of innovation"" OR ""innovation policy"" OR ""public governance"" OR ""public innovation"" OR ""social technology"" OR"
OpenAlex,https://openalex.org/W3048186973,https://openalex.org/W3048186973,The CARE Principles for Indigenous Data Governance,2020,"Stephanie Russo Carroll, Ibrahim Garba, Óscar Luis Figueroa Rodríguez, Jarita Holbrook, Raymond Lovett, S. A. Materechera, M. A. Parsons, Kay Raseroka, Desi Rodriguez-Lonebear, Robyn Rowe, Rodrigo Sara, Jennifer Walker, Jane Anderson, Māui Hudson",1341,https://doi.org/10.5334/dsj-2020-043,"Concerns about secondary use of data and limited opportunities for benefit-sharing have focused attention on the tension that Indigenous communities feel between (1) protecting Indigenous rights and interests in Indigenous data (including traditional knowledges) and (2) supporting open data, machine learning, broad data sharing, and big data initiatives. The International Indigenous Data Sovereignty Interest Group (within the Research Data Alliance) is a network of nation-state based Indigenous data sovereignty networks and individuals that developed the ‘CARE Principles for Indigenous Data Governance’ (Collective Benefit, Authority to Control, Responsibility, and Ethics) in consultation with Indigenous Peoples, scholars, non-profit organizations, and governments. The CARE Principles are people– and purpose-oriented, reflecting the crucial role of data in advancing innovation, governance, and self-determination among Indigenous Peoples. The Principles complement the existing data-centric approach represented in the ‘FAIR Guiding Principles for scientific data management and stewardship’ (Findable, Accessible, Interoperable, Reusable). The CARE Principles build upon earlier work by the Te Mana Raraunga Maori Data Sovereignty Network, US Indigenous Data Sovereignty Network, Maiam nayri Wingara Aboriginal and Torres Strait Islander Data Sovereignty Collective, and numerous Indigenous Peoples, nations, and communities. The goal is that stewards and other users of Indigenous data will ‘Be FAIR and CARE.’ In this first formal publication of the CARE Principles, we articulate their rationale, describe their relation to the FAIR Principles, and present examples of their application.",en,Indigenous;Sovereignty;Data governance;Data sharing;Corporate governance;Stewardship (theology);Political science;Public administration;Public relations;Sociology;Law;Business;Medicine;Data quality;Politics;Pathology;Biology;Alternative medicine;Ecology;Metric (unit);Finance;Marketing,Data Science Journal,geral,2026-09-09T16:47:15,"""sociology of innovation"" OR ""innovation policy"" OR ""public governance"" OR ""public innovation"" OR ""social technology"" OR"
OpenAlex,https://openalex.org/W2129862350,https://openalex.org/W2129862350,Creative destruction or mere niche support? Innovation policy mixes for sustainability transitions,2015,"Paula Kivimaa, Florian Kern",1165,https://doi.org/10.1016/j.respol.2015.09.008,"Recently, there has been an increasing interest in policy mixes in innovation studies. While it has long been acknowledged that the stimulation of innovation and technological change involves different types of policy instruments, how such instruments form policy mixes has only recently become of interest. We argue that an area in which policy mixes are particularly important is the field of sustainability transitions. Transitions imply not only the development of disruptive innovations but also of policies aiming for wider change in socio-technical systems. We propose that ideally policy mixes for transitions include elements of ‘creative destruction’, involving both policies aiming for the ‘creation’ of new and for ‘destabilising’ the old. We develop a novel analytical framework including the two policy mix dimensions (‘creation’ and ‘destruction’) by broadening the technological innovation system functions approach, and specifically by expanding the concept of ‘motors of innovation’ to ‘motors of creative destruction’. We test this framework by analysing ‘low energy’ policy mixes in Finland and the UK. We find that both countries have diverse policy mixes to support energy efficiency and reduce energy demand with instruments to cover all functions on the creation side. Despite the demonstrated need for such policies, unsurprisingly, destabilising functions are addressed by fewer policies, but there are empirical examples of such policies in both countries. The concept of ‘motors of creative destruction’ is introduced to expand innovation and technology policy debates to go beyond policy mixes consisting of technology push and demand pull instruments, and to consider a wider range of policy instruments combined in a suitable mix which may contribute to sustainability transitions.",en,Sustainability;Niche;Business;Economics;Economic geography;Industrial organization;Economic system;Environmental economics;Ecology;Biology,Research Policy,inovacao_politicas_publicas,2026-09-09T16:47:15,"""sociology of innovation"" OR ""innovation policy"" OR ""public governance"" OR ""public innovation"" OR ""social technology"" OR"
OpenAlex,https://openalex.org/W2167824218,https://openalex.org/W2167824218,Social innovation: Moving the field forward. A conceptual framework,2013,Giovany Cajaiba-Santana,1125,https://doi.org/10.1016/j.techfore.2013.05.008,,en,Social entrepreneurship;Social innovation;Field (mathematics);Sociology;Conceptual framework;Social change;Space (punctuation);Structuration theory;Knowledge management;Epistemology;Public relations;Social science;Entrepreneurship;Political science;Economics;Economic growth;Computer science;Mathematics;Philosophy;Law;Operating system;Pure mathematics,Technological Forecasting and Social Change,geral,2026-09-09T16:47:15,"""sociology of innovation"" OR ""innovation policy"" OR ""public governance"" OR ""public innovation"" OR ""social technology"" OR"
OpenAlex,https://openalex.org/W2170165191,https://openalex.org/W2170165191,The open book of social innovation,2010,Robin Murray and Julie Caulier-Grice and Geoff Mulgan,1098,,"This volume describes the hundreds of methods and tools for innovation being used across the world, as a first step to developing a knowledge base.The Open Book presents a varied, vibrant picture of social innovation in practice and demonstrates the vitality of this rapidly emerging economy. It demonstrates the diversity of initiatives being led by entrepreneurs and campaigners, organisations and movements worldwide. It is the result of a major collaboration between NESTA (the National Endowment for Science, Technology and the Arts) and the Young Foundation – two UK organisations that are committed to the role that social innovation can play in addressing some of the most pressing issues of our time.",en,Endowment;Vitality;Open innovation;Social innovation;Diversity (politics);Political science;The arts;Foundation (evidence);Public relations;Economic growth;Management;Business;Marketing;Economics;Philosophy;Theology;Law,,geral,2026-09-09T16:47:15,"""sociology of innovation"" OR ""innovation policy"" OR ""public governance"" OR ""public innovation"" OR ""social technology"" OR"
OpenAlex,https://openalex.org/W603961186,https://openalex.org/W603961186,Fabricated: The New World of 3D Printing,2013,"Hod Lipson, Melba Kurman",1049,,"Fabricated tells the story of 3D printers, humble manufacturing machines that are bursting out of the factory and into homes, businesses, schools, kitchens, hospitals, even the fashion catwalk.The magic happens when you plug a 3D printer into today's mind-boggling technologies. Add to that the Internet, tiny, low cost electronic circuitry, radical advances in materials science and biotech and voila! The result is an explosion of technological and social innovation. Fabricatedprovides readers with practical and imaginative insights to the question how will 3D printing technologies change my life? Based on hundreds of hours of research and dozens of interviews with experts from a broad range of industries, Fabricated offers readers an informative, engaging and fast-paced introduction to 3D printing now and in the future.Chapters and contentsChapter 1: Everything is becoming sciencefiction.What would another regular day look like in a future, 3D printable world?Chapter 2: A machine that can make almost anything.Information morphed from analog form to digital. Will physical objects be next? Ten key principles explain 3D printing's disruptive power.Chapter 3: Nimble manufacturing. Emerging business models lie somewhere between mass production and the local farmer's market. Small-batch manufacturing is becoming profitable, freeing entrepreneurs from the tyranny imposed by economies of scale.Chapter 4: Tomorrow's economy of printable products. 3D printing, low-cost design and manufacturing technologies create new market opportunities as consumers increasingly crave on-demand, custom experience products.Chapter 5: Printing in layers. For those of a technological bent, a deep dive into the inner workings of the 3D printing process.Chapter 6: Design software, the canvas. Without an attached computer, a 3D printer is just an elaborate paperweight. An overview of design software and digital capture.Chapter 7: Bioprinting in ink. Design software and 3D printers read medical scans to fabricate living tissue and custom artificial joints. How long before all of us can tap into this Fountain of Youth?Chaper 8: Digital cuisine. Today you can 3D high resolution and delicious shortbread, chocolate figurines and tortillas. In the future, Quantified Selfers and couch potatoes alike will balance their diets by streaming biometrics to a food printer.Chapter 9: A factory in the classroom. Primary and middle school teachers teach children's engineering using vivid, hands-on lesson plans.Chapter 10: Unleashing a new aesthetic.3D printers are the output device computer-savvy artists, designers and architects have been waiting for.Chapter 11: Green, clean manufacturing. What's cleaner to make? A 3D printed plastic toy or a mass-produced plastic toy? 3D printers may introduce greener living... or help us drown in a rising tidal wave of plastic junk.Chapter 12: Ownership, safety and legal frontiers. Technology evolves faster than the law. Consumer safety and intellectual property laws will stretch to deal with printed weapons, counterfeit products and unregulated custom-made products. Chapter 13: Designing the future. Why was Star Trek's Replicator used only to make Earl Grey tea? Because once we shape our tools, then our tools shape us. Next-generation design software will unshackle our imaginations, giving us new ways to imagine and edit the physical world. Chapter 14: The next episode of 3D printing.What lies ahead? Watercolor artists create infinite hues by blending primary colors. Regular people will design and blend standard materials -- or micro-scale electronic components -- and print them out in fine, meticulously patterned sprays. The result? Weird and wacky new materials. Robots that walk out of the 3D printer. Ready-made, responsive smart materials.",en,3D printing;Emerging technologies;Engineering;Business;Computer science;Mechanical engineering;Artificial intelligence,,geral,2026-09-09T16:47:15,"""sociology of innovation"" OR ""innovation policy"" OR ""public governance"" OR ""public innovation"" OR ""social technology"" OR"
